treatment	medium	dose_uM	plateID	timeID	cell_line	imageNumber	locationID	control	variable	value
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	14	D03_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.445727018
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	15	D04_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.84045025
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	16	D04_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.873968436
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	17	D05_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	4.956273925
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	18	D05_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.452893918
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	19	D06_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	4.518738128
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	20	D06_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.814022789
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	21	D07_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	4.109310076
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	22	D07_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	4.185297615
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	23	D08_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.52203115
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	24	D08_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.053794236
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	25	E03_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.723583533
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	26	E03_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.975786348
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	27	E04_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	4.95674413
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	28	E04_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.611640415
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	29	E05_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.361933835
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	30	E05_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.669439296
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	31	E06_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.58769045
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	32	E06_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	4.717731434
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	33	E07_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.733769969
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	34	E07_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.722920772
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	35	E08_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.669935689
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	36	E08_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.336600085
Medium	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	37	F03_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	4.037556997
Medium	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	38	F03_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.880110426
Medium	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	39	F04_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.744130387
Medium	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	40	F04_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	4.221624918
DMSO	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	41	F05_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	2.858198509
DMSO	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	42	F05_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.854817559
DMSO	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	43	F06_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.854717367
DMSO	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	44	F06_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.537046963
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	45	F07_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.695739509
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	46	F07_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.928441504
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	47	F08_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	2.021870114
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	48	F08_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.858412329
