"treatment"	"plateID"	"dose_uM"	"timeID"	"locationID"	"cell_line"	"variable"	"value"
"DMSO"	"20200220_Exp006_MT_t24"	0	"16"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.870704356034777
"DMSO"	"20200220_Exp006_MT_t24"	0	"17"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.874229571446388
"DMSO"	"20200220_Exp006_MT_t24"	0	"18"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.855931331844336
"DMSO"	"20200220_Exp006_MT_t24"	0	"19"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.904880039610088
"DMSO"	"20200220_Exp006_MT_t24"	0	"20"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.845441686010329
"DMSO"	"20200220_Exp006_MT_t24"	0	"21"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.893775304350532
"DMSO"	"20200220_Exp006_MT_t24"	0	"22"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.969139020740484
"DMSO"	"20200220_Exp006_MT_t24"	0	"23"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.924830335344048
"DMSO"	"20200220_Exp006_MT_t24"	0	"24"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.960696800141234
"DMSO"	"20200220_Exp006_MT_t24"	0	"1"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.24055138654008
"DMSO"	"20200220_Exp006_MT_t24"	0	"2"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.24657174449571
"DMSO"	"20200220_Exp006_MT_t24"	0	"3"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.16293792399714
"DMSO"	"20200220_Exp006_MT_t24"	0	"4"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.10888622879398
"DMSO"	"20200220_Exp006_MT_t24"	0	"5"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.96086038677326
"DMSO"	"20200220_Exp006_MT_t24"	0	"6"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.85839294244818
"DMSO"	"20200220_Exp006_MT_t24"	0	"7"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.60754110295374
"DMSO"	"20200220_Exp006_MT_t24"	0	"8"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.59558173804591
"DMSO"	"20200220_Exp006_MT_t24"	0	"9"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.490005805179
"DMSO"	"20200220_Exp006_MT_t24"	0	"10"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.38584422951867
"DMSO"	"20200220_Exp006_MT_t24"	0	"11"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.27039058489066
