"treatment"	"plateID"	"dose_uM"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"24"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.25876779679874
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"1"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.33045628866349
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"2"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.933441548400833
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"3"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.584560164530904
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"4"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.761438955269175
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"5"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.569726667715844
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"6"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.508649720287601
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"7"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.778305906914888
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"8"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.642194519503549
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"9"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.855002967397221
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"10"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.68903275171298
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"11"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.911164403243453
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"12"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.711560233986713
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"13"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.830702848253365
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"14"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.793799967080592
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"15"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.673312110461542
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"16"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.79891108029228
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"17"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.754581761871381
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"18"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.628848547203321
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"19"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.840822662919098
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"20"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.797081752657646
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"21"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.958679633605006
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"22"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.650519518969407
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"23"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.958922681191835
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"24"	"GREB1-GFP_siESR1"	"B03_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.975396654152776
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"1"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.6398835077441
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"2"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.12060756409079
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"3"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.603893984623094
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"4"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.794278191219098
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"5"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.568282713045
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"6"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.509228540482433
